epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.2783,1.24688,1.52571,1.26326,0.64246,0.47712,0.52424,0.37875,1.14238,1.21174,1.1501,3.92447e-05,3.92447e-05,3.92447e-05
2,92.5961,1.23582,1.46704,1.24343,0.65748,0.4815,0.53727,0.38773,1.14265,1.19698,1.1516,7.63073e-05,7.63073e-05,7.63073e-05
3,132.256,1.21211,1.44005,1.23416,0.63955,0.50339,0.54987,0.39814,1.1346,1.17441,1.14682,0.000110752,0.000110752,0.000110752
4,173.906,1.21904,1.42666,1.22753,0.65963,0.50089,0.55819,0.40308,1.13227,1.16173,1.15056,0.000107219,0.000107219,0.000107219
5,215.414,1.19802,1.40422,1.22432,0.68431,0.5092,0.57697,0.42072,1.11066,1.12167,1.13835,0.000103292,0.000103292,0.000103292
6,255.568,1.19599,1.38601,1.2322,0.70501,0.51836,0.59191,0.43302,1.09674,1.09151,1.12677,9.9365e-05,9.9365e-05,9.9365e-05
7,296.515,1.1783,1.34594,1.21627,0.71287,0.52862,0.60133,0.44223,1.09302,1.07842,1.12651,9.5438e-05,9.5438e-05,9.5438e-05
8,337.078,1.17268,1.35682,1.21948,0.69857,0.54173,0.61148,0.45071,1.08459,1.04812,1.11836,9.1511e-05,9.1511e-05,9.1511e-05
9,376.251,1.19134,1.31734,1.21336,0.70718,0.55621,0.62296,0.45779,1.07848,1.03796,1.11552,8.7584e-05,8.7584e-05,8.7584e-05
10,417.372,1.16969,1.31155,1.21036,0.72687,0.55747,0.62561,0.4586,1.07243,1.02909,1.10849,8.3657e-05,8.3657e-05,8.3657e-05
11,458.713,1.1567,1.29747,1.19924,0.71093,0.58466,0.64102,0.47474,1.06154,1.00473,1.10604,7.973e-05,7.973e-05,7.973e-05
12,498.006,1.14685,1.25776,1.1929,0.72926,0.5735,0.64378,0.47726,1.05594,0.99622,1.10323,7.5803e-05,7.5803e-05,7.5803e-05
13,539.014,1.15808,1.26686,1.19243,0.75879,0.55942,0.64485,0.47976,1.04724,0.97811,1.09398,7.1876e-05,7.1876e-05,7.1876e-05
14,579.912,1.14228,1.24912,1.19204,0.75332,0.57167,0.65494,0.48824,1.0421,0.95883,1.08965,6.7949e-05,6.7949e-05,6.7949e-05
15,618.722,1.13968,1.23605,1.18657,0.75334,0.58865,0.66142,0.4961,1.0356,0.95032,1.08953,6.4022e-05,6.4022e-05,6.4022e-05
16,660.115,1.12588,1.20098,1.18089,0.7676,0.57663,0.66131,0.49503,1.03464,0.95303,1.08813,6.0095e-05,6.0095e-05,6.0095e-05
17,701.346,1.12092,1.19649,1.17772,0.72136,0.61305,0.67121,0.50384,1.02495,0.93062,1.08181,5.6168e-05,5.6168e-05,5.6168e-05
18,741.191,1.13821,1.22356,1.18896,0.78418,0.5893,0.67723,0.50933,1.01764,0.92171,1.0765,5.2241e-05,5.2241e-05,5.2241e-05
19,782.526,1.10888,1.18542,1.1754,0.74474,0.61431,0.68003,0.51129,1.01032,0.90931,1.07295,4.8314e-05,4.8314e-05,4.8314e-05
20,824.218,1.10681,1.19658,1.17326,0.77223,0.60505,0.6838,0.51462,1.00697,0.90645,1.07015,4.4387e-05,4.4387e-05,4.4387e-05
21,866.731,1.13946,1.22276,1.18034,0.75288,0.58687,0.66738,0.49837,1.02853,0.93965,1.08614,4.046e-05,4.046e-05,4.046e-05
22,905.682,1.09657,1.11857,1.16117,0.73672,0.62014,0.67974,0.50768,1.01789,0.91791,1.07392,3.6533e-05,3.6533e-05,3.6533e-05
23,945.785,1.09547,1.08967,1.14747,0.7706,0.60487,0.68472,0.51304,1.0129,0.90714,1.06994,3.2606e-05,3.2606e-05,3.2606e-05
24,984.262,1.07103,1.05037,1.1304,0.77823,0.61044,0.68798,0.5171,1.00677,0.89811,1.06766,2.8679e-05,2.8679e-05,2.8679e-05
25,1024.33,1.07708,1.05221,1.14121,0.77303,0.62286,0.6921,0.52289,1.0015,0.88805,1.06527,2.4752e-05,2.4752e-05,2.4752e-05
26,1062.94,1.06832,1.03987,1.13235,0.77638,0.62399,0.69673,0.52615,1.00054,0.88223,1.06272,2.0825e-05,2.0825e-05,2.0825e-05
27,1102.53,1.05909,1.01946,1.12398,0.77269,0.62534,0.69884,0.5273,0.99443,0.87995,1.05863,1.6898e-05,1.6898e-05,1.6898e-05
28,1142.41,1.06206,1.02966,1.12777,0.80356,0.61356,0.70116,0.53009,0.99074,0.87291,1.05746,1.2971e-05,1.2971e-05,1.2971e-05
29,1181.03,1.0563,1.00941,1.12171,0.78859,0.62319,0.7037,0.53196,0.98986,0.8677,1.05636,9.044e-06,9.044e-06,9.044e-06
30,1221.57,1.0611,1.01871,1.13264,0.78285,0.62976,0.70358,0.53323,0.9893,0.8659,1.05617,5.117e-06,5.117e-06,5.117e-06
